Country,CountryAlpha3Code,Date,confirmed,deaths,recoveries,confirmed_inc,deaths_inc,recoveries_inc,ECR,GRTStringencyIndex,DaysSince1Cases,DaysSince100Cases,confirmed_PopPct,deaths_PopPct,recoveries_PopPct
Turkey,TUR,2020-06-03,166422,4609,130852.0,867.0,24.0,931.0,0.005936715097763612,63.89,84,76,0.19947592950057363,0.0055244171988567846,0.15684118882725276
Turkey,TUR,2020-06-04,167410,4630,131778.0,988.0,21.0,926.0,0.0055552237022877815,63.89,85,77,0.20066016126288008,0.005549588116881518,0.15795110645062907
Turkey,TUR,2020-06-05,168340,4648,133400.0,930.0,18.0,1622.0,0.005215635024355514,63.89,86,78,0.20177487334683253,0.005571163189474145,0.15989526021425365
Turkey,TUR,2020-06-06,169218,4669,135322.0,878.0,21.0,1922.0,0.005401316644801479,63.89,87,79,0.20282725744329516,0.0055963341074988775,0.1621989985210887
Turkey,TUR,2020-06-07,170132,4692,137969.0,914.0,23.0,2647.0,0.005813133331765918,63.89,88,80,0.20392279168494304,0.00562390225581168,0.16537173280734904
Turkey,TUR,2020-06-08,171121,4711,141380.0,989.0,19.0,3411.0,0.00580291139018585,63.89,89,81,0.20510822206239354,0.005646675943548343,0.16946020906365203
Turkey,TUR,2020-06-09,172114,4729,144598.0,993.0,18.0,3218.0,0.005356914603111829,63.89,90,82,0.20629844690042018,0.005668251016140971,0.1733173525971563
Turkey,TUR,2020-06-10,173036,4746,146839.0,922.0,17.0,2241.0,0.00570401534940701,63.89,91,83,0.20740357006322035,0.005688627473589564,0.17600344913493848
Turkey,TUR,2020-06-11,174023,4763,147860.0,987.0,17.0,1021.0,0.006866908397165972,63.89,92,84,0.20858660321038278,0.005709003931038157,0.1772272351969981
Turkey,TUR,2020-06-12,175218,4778,149102.0,1195.0,15.0,1242.0,0.008326770080699486,63.89,93,85,0.21001894830750448,0.0057269831581986804,0.17871591520588942
Turkey,TUR,2020-06-13,176677,4792,150087.0,1459.0,14.0,985.0,0.00884099231931712,63.89,94,86,0.21176772780265138,0.005743763770215168,0.1798965511227638
Turkey,TUR,2020-06-14,178239,4807,151417.0,1562.0,15.0,1330.0,0.008931827490055388,63.89,95,87,0.21363996465763385,0.005761742997375692,0.18149070926433017
Turkey,TUR,2020-06-15,179831,4825,152364.0,1592.0,18.0,947.0,0.008157659135521689,63.89,96,88,0.2155481599669374,0.00578331806996832,0.1826257978057312
Turkey,TUR,2020-06-16,181298,4842,153379.0,1467.0,17.0,1015.0,0.00788205054661395,63.89,97,89,0.21730652838323658,0.005803694527416913,0.18384239217692663
Turkey,TUR,2020-06-17,182727,4861,154640.0,1429.0,19.0,1261.0,0.007136329059197699,63.89,98,90,0.21901934942406243,0.005826468215153576,0.1853538458735546
Turkey,TUR,2020-06-18,184031,4882,156022.0,1304.0,21.0,1382.0,0.006596714683939187,63.89,99,91,0.22058234357188392,0.005851639133178308,0.18701033200261083
Turkey,TUR,2020-06-19,185245,4905,157516.0,1214.0,23.0,1494.0,0.006737023941266962,63.89,100,92,0.22203746235674227,0.005879207281491111,0.18880106302779895
Turkey,TUR,2020-06-20,186493,4927,158828.0,1248.0,22.0,1312.0,0.00639166081300635,63.89,101,93,0.2235333340564978,0.005905576814659879,0.1903736460967727
Turkey,TUR,2020-06-21,187685,4950,160240.0,1192.0,23.0,1412.0,0.006457628473239829,63.89,102,94,0.2249620833081874,0.00593314496297268,0.19206609068014996
Turkey,TUR,2020-06-22,188897,4974,161533.0,1212.0,24.0,1293.0,0.006712652927256757,63.89,103,95,0.22641480486275767,0.0059619117264295175,0.19361590006138707
Turkey,TUR,2020-06-23,190165,5001,162848.0,1268.0,27.0,1315.0,0.007845818105329583,63.89,104,96,0.2279346488653939,0.00599427433531846,0.19519207897579294
Turkey,TUR,2020-06-24,191657,5025,164234.0,1492.0,24.0,1386.0,0.00760734019628817,63.89,105,97,0.22972298266029395,0.006023041098775297,0.1968533595654253
Turkey,TUR,2020-06-25,193115,5046,165706.0,1458.0,21.0,1472.0,0.0072288532739559486,63.89,106,98,0.23147056354029683,0.00604821201680003,0.19861772105744466
Turkey,TUR,2020-06-26,194511,5065,167198.0,1396.0,19.0,1492.0,0.0070535856583946455,63.89,107,99,0.2331438302813695,0.006070985704536692,0.2004060548523447
Turkey,TUR,2020-06-27,195883,5082,169182.0,1372.0,17.0,1984.0,0.006922499655406478,63.89,108,100,0.23478833025898538,0.006091362161985286,0.20278410729810992
Turkey,TUR,2020-06-28,197239,5097,170595.0,1356.0,15.0,1413.0,0.006966167948529556,63.89,109,101,0.23641365239429668,0.006109341389145808,0.2044777504966312
Turkey,TUR,2020-06-29,198613,5115,171809.0,1374.0,18.0,1214.0,0.006510147875516736,63.89,110,102,0.2380605496022006,0.006130916461738437,0.20593286928148954
Turkey,TUR,2020-06-30,199906,5131,173111.0,1293.0,16.0,1302.0,0.0059628025171831744,63.89,111,103,0.23961035898343772,0.006150094304042995,0.20749346619902298
